Head to head statistics:

   1 Sloppy                                             :Removed from calculation
 2) Stockfish                                    1320.0 :   3600 (+3567,=14,-19),  99.3 %

    vs.                                                 :  games (    +,  =,  -),   (%) :    Diff,    SD, CFS (%)
    DCM nT8Y-fatconv (latest)                           :    100 (  0,   34,   66),  17.0 :  -314.9,   7.1,    0.0
    DCM Qeu8e (latest)                                  :    100 (  0,   51,   49),  25.5 :  -249.2,   6.8,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (  0,   31,   69),  15.5 :  -243.3,   7.4,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 (  0,   42,   58),  21.0 :  -241.3,   7.0,    0.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (  0,   53,   47),  26.5 :  -201.6,   7.0,    0.0
    DCM mini2b-3MIV (latest)                            :    100 (  0,   61,   39),  30.5 :  -195.9,   7.2,    0.0
    DCM mini-YkKk (latest)                              :    100 (  0,   60,   40),  30.0 :  -172.7,   7.3,    0.0
    DCM T97X (latest)                                   :    100 (  1,   63,   36),  32.5 :   -48.8,   7.2,    0.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (  0,   69,   31),  34.5 :   -45.5,   6.4,    0.0
    DCM uni16-9x9stem (latest)                          :    100 (  2,   59,   39),  31.5 :   -23.2,   6.9,    0.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (  5,   66,   29),  38.0 :   -11.4,   7.4,    6.2
    DCM q2Bb-tanh (latest)                              :    100 (  9,   84,    7),  51.0 :    -0.3,   8.4,   48.4
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 ( 14,   76,   10),  52.0 :    +2.2,   7.3,   61.7
    DCM q2Bb-tanhSqrtN (latest)                         :    100 ( 17,   79,    4),  56.5 :   +65.1,   7.0,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (  8,   87,    5),  51.5 :   +66.5,   7.5,  100.0
    DCM freshNet (latest)                               :    100 (  8,   90,    2),  53.0 :   +66.5,   6.9,  100.0

35) DCM 20260626-2-q2Bb-manual (latest)           130.6 :   3600 (+74,=1413,-2113),  21.7 %

    vs.                                                 :  games (  +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (  0,    0,  100),   0.0 : -1189.4,  27.8,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (  0,   14,   86),   7.0 :  -475.3,   7.7,    0.0
    DCM v5                                              :    100 (  0,   14,   86),   7.0 :  -473.2,   8.2,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (  0,   13,   87),   6.5 :  -457.9,   7.8,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (  0,   18,   82),   9.0 :  -446.4,   7.2,    0.0
    DCM Qeu8 (latest)                                   :    100 (  0,   21,   79),  10.5 :  -436.5,   7.8,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (  0,   26,   74),  13.0 :  -431.3,   7.2,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (  0,   21,   79),  10.5 :  -405.0,   6.4,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (  0,   23,   77),  11.5 :  -403.7,   7.7,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (  0,   19,   81),   9.5 :  -401.4,   7.7,    0.0
    DCM - Qeu8e5                                        :    100 (  0,   26,   74),  13.0 :  -397.5,   6.6,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (  0,   22,   78),  11.0 :  -395.0,   7.5,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (  0,   15,   85),   7.5 :  -394.5,   7.3,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (  0,   19,   81),   9.5 :  -387.8,   7.1,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (  0,   23,   77),  11.5 :  -384.8,   7.2,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (  0,   20,   80),  10.0 :  -376.5,   6.8,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (  0,   22,   78),  11.0 :  -369.0,   7.4,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (  0,   33,   67),  16.5 :  -368.5,   7.3,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (  0,   35,   65),  17.5 :  -342.3,   7.6,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (  0,   34,   66),  17.0 :  -332.2,   7.8,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (  0,   31,   69),  15.5 :  -317.1,   6.9,    0.0
    DCM Qeu8e (latest)                                  :    100 (  0,   51,   49),  25.5 :  -251.4,   7.7,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (  0,   46,   54),  23.0 :  -245.4,   7.9,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 (  0,   55,   45),  27.5 :  -243.5,   7.2,    0.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (  1,   38,   61),  20.0 :  -203.8,   6.9,    0.0
    DCM mini2b-3MIV (latest)                            :    100 (  0,   62,   38),  31.0 :  -198.0,   6.7,    0.0
    DCM mini-YkKk (latest)                              :    100 (  0,   60,   40),  30.0 :  -174.8,   7.7,    0.0
    DCM T97X (latest)                                   :    100 (  2,   57,   41),  30.5 :   -51.0,   8.3,    0.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (  0,   62,   38),  31.0 :   -47.6,   6.9,    0.0
    DCM uni16-9x9stem (latest)                          :    100 (  2,   61,   37),  32.5 :   -25.4,   7.3,    0.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (  1,   72,   27),  37.0 :   -13.6,   7.4,    3.2
    DCM q2Bb-tanh (latest)                              :    100 ( 14,   74,   12),  51.0 :    -2.5,   8.7,   38.6
    DCM q2Bb-clamp (latest)                             :    100 ( 10,   76,   14),  48.0 :    -2.2,   7.3,   38.3
    DCM q2Bb-tanhSqrtN (latest)                         :    100 ( 17,   83,    0),  58.5 :   +63.0,   7.4,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 ( 20,   76,    4),  58.0 :   +64.3,   7.0,  100.0
    DCM freshNet (latest)                               :    100 (  7,   91,    2),  52.5 :   +64.3,   7.4,  100.0

36) DCM q2Bb-tanhSqrtN (latest)                    67.6 :   3600 (+10,=1192,-2398),  16.8 %

    vs.                                                 :  games (  +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (  0,    0,  100),   0.0 : -1252.4,  27.5,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (  0,    9,   91),   4.5 :  -538.3,   7.8,    0.0
    DCM v5                                              :    100 (  0,   11,   89),   5.5 :  -536.2,   7.5,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (  0,    7,   93),   3.5 :  -520.8,   8.2,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (  0,    9,   91),   4.5 :  -509.3,   7.5,    0.0
    DCM Qeu8 (latest)                                   :    100 (  0,   11,   89),   5.5 :  -499.5,   7.8,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (  0,   15,   85),   7.5 :  -494.2,   6.8,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (  0,   11,   89),   5.5 :  -467.9,   7.1,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (  0,   14,   86),   7.0 :  -466.6,   7.8,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (  0,   14,   86),   7.0 :  -464.4,   7.8,    0.0
    DCM - Qeu8e5                                        :    100 (  0,   13,   87),   6.5 :  -460.4,   7.2,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (  0,    8,   92),   4.0 :  -458.0,   6.6,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (  0,   12,   88),   6.0 :  -457.4,   7.1,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (  0,   23,   77),  11.5 :  -450.8,   7.2,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (  0,   19,   81),   9.5 :  -447.8,   7.4,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (  0,   16,   84),   8.0 :  -439.4,   7.0,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (  0,   14,   86),   7.0 :  -431.9,   6.7,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (  0,   17,   83),   8.5 :  -431.4,   7.2,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (  0,   24,   76),  12.0 :  -405.3,   6.8,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (  0,   25,   75),  12.5 :  -395.2,   7.1,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (  0,   30,   70),  15.0 :  -380.1,   6.7,    0.0
    DCM Qeu8e (latest)                                  :    100 (  0,   27,   73),  13.5 :  -314.4,   6.9,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (  0,   19,   81),   9.5 :  -308.4,   7.7,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 (  0,   32,   68),  16.0 :  -306.4,   7.1,    0.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (  0,   39,   61),  19.5 :  -266.8,   6.7,    0.0
    DCM mini2b-3MIV (latest)                            :    100 (  0,   32,   68),  16.0 :  -261.0,   7.0,    0.0
    DCM mini-YkKk (latest)                              :    100 (  0,   44,   56),  22.0 :  -237.8,   7.1,    0.0
    DCM T97X (latest)                                   :    100 (  2,   68,   30),  36.0 :  -114.0,   7.4,    0.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (  1,   65,   34),  33.5 :  -110.6,   7.1,    0.0
    DCM uni16-9x9stem (latest)                          :    100 (  0,   61,   39),  30.5 :   -88.4,   7.3,    0.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (  0,   75,   25),  37.5 :   -76.6,   6.9,    0.0
    DCM q2Bb-tanh (latest)                              :    100 (  1,   73,   26),  37.5 :   -65.5,   8.8,    0.0
    DCM q2Bb-clamp (latest)                             :    100 (  4,   79,   17),  43.5 :   -65.1,   7.0,    0.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (  0,   83,   17),  41.5 :   -63.0,   7.4,    0.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (  2,   93,    5),  48.5 :    +1.4,   8.0,   56.8
    DCM freshNet (latest)                               :    100 (  0,  100,    0),  50.0 :    +1.4,   7.5,   57.2

37) DCM Exp1 - 467k-step basic30 + 7x7             66.3 :   3600 (+29,=1147,-2424),  16.7 %

    vs.                                                 :  games (  +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (  0,    0,  100),   0.0 : -1253.7,  27.0,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (  0,    5,   95),   2.5 :  -539.6,   7.7,    0.0
    DCM v5                                              :    100 (  1,    9,   90),   5.5 :  -537.5,   7.9,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (  0,    7,   93),   3.5 :  -522.2,   7.2,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (  1,    7,   92),   4.5 :  -510.7,   7.2,    0.0
    DCM Qeu8 (latest)                                   :    100 (  0,   15,   85),   7.5 :  -500.8,   8.1,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (  0,   17,   83),   8.5 :  -495.6,   7.9,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (  0,   15,   85),   7.5 :  -469.3,   7.5,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (  0,   22,   78),  11.0 :  -468.0,   7.8,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (  0,   10,   90),   5.0 :  -465.7,   7.7,    0.0
    DCM - Qeu8e5                                        :    100 (  0,   15,   85),   7.5 :  -461.8,   7.4,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (  0,   13,   87),   6.5 :  -459.3,   7.1,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (  0,    6,   94),   3.0 :  -458.8,   7.3,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (  0,    8,   92),   4.0 :  -452.1,   7.4,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (  0,   11,   89),   5.5 :  -449.1,   7.6,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (  0,   13,   87),   6.5 :  -440.8,   7.7,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (  0,   20,   80),  10.0 :  -433.3,   7.3,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (  0,   22,   78),  11.0 :  -432.8,   7.5,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (  0,   27,   73),  13.5 :  -406.6,   7.5,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (  0,   25,   75),  12.5 :  -396.6,   7.6,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (  0,   24,   76),  12.0 :  -381.4,   7.5,    0.0
    DCM Qeu8e (latest)                                  :    100 (  0,   28,   72),  14.0 :  -315.7,   7.6,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (  0,   26,   74),  13.0 :  -309.8,   7.5,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 (  0,   40,   60),  20.0 :  -307.8,   6.9,    0.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (  0,   44,   56),  22.0 :  -268.1,   7.1,    0.0
    DCM mini2b-3MIV (latest)                            :    100 (  0,   52,   48),  26.0 :  -262.4,   7.0,    0.0
    DCM mini-YkKk (latest)                              :    100 (  0,   51,   49),  25.5 :  -239.2,   7.2,    0.0
    DCM T97X (latest)                                   :    100 (  0,   65,   35),  32.5 :  -115.3,   7.9,    0.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (  0,   46,   54),  23.0 :  -112.0,   7.3,    0.0
    DCM uni16-9x9stem (latest)                          :    100 (  1,   50,   49),  26.0 :   -89.7,   7.4,    0.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (  2,   30,   68),  17.0 :   -77.9,   8.1,    0.0
    DCM q2Bb-tanh (latest)                              :    100 (  2,   77,   21),  40.5 :   -66.8,   8.3,    0.0
    DCM q2Bb-clamp (latest)                             :    100 (  5,   87,    8),  48.5 :   -66.5,   7.5,    0.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (  4,   76,   20),  42.0 :   -64.3,   7.0,    0.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (  5,   93,    2),  51.5 :    -1.4,   8.0,   43.2
    DCM freshNet (latest)                               :    100 (  8,   91,    1),  53.5 :    +0.0,   7.2,   50.0

38) DCM freshNet (latest)                          66.3 :   3600 (+7,=1191,-2402),  16.7 %

    vs.                                                 :  games ( +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 ( 0,    0,  100),   0.0 : -1253.7,  27.0,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 ( 0,    6,   94),   3.0 :  -539.6,   7.8,    0.0
    DCM v5                                              :    100 ( 0,    7,   93),   3.5 :  -537.5,   7.6,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 ( 0,    7,   93),   3.5 :  -522.2,   7.5,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 ( 0,   16,   84),   8.0 :  -510.7,   7.2,    0.0
    DCM Qeu8 (latest)                                   :    100 ( 0,   11,   89),   5.5 :  -500.8,   8.2,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 ( 0,   11,   89),   5.5 :  -495.6,   7.7,    0.0
    DCM Qeu8e3 (latest)                                 :    100 ( 0,    7,   93),   3.5 :  -469.3,   7.1,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 ( 0,   18,   82),   9.0 :  -468.0,   7.6,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 ( 0,   13,   87),   6.5 :  -465.7,   7.9,    0.0
    DCM - Qeu8e5                                        :    100 ( 0,   10,   90),   5.0 :  -461.8,   7.3,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 ( 0,   10,   90),   5.0 :  -459.3,   7.8,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 ( 0,   12,   88),   6.0 :  -458.8,   7.2,    0.0
    DCM Qeu8e4 (latest)                                 :    100 ( 0,   18,   82),   9.0 :  -452.1,   7.5,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 ( 0,   14,   86),   7.0 :  -449.1,   7.4,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 ( 0,   17,   83),   8.5 :  -440.8,   7.4,    0.0
    DCM Qeu8e2 (latest)                                 :    100 ( 0,   11,   89),   5.5 :  -433.3,   7.4,    0.0
    DCM Qeu8e5 (latest)                                 :    100 ( 0,   17,   83),   8.5 :  -432.8,   7.6,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 ( 0,   20,   80),  10.0 :  -406.6,   7.7,    0.0
    DCM mini1b-Coxw (latest)                            :    100 ( 0,   24,   76),  12.0 :  -396.6,   7.7,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 ( 0,   23,   77),  11.5 :  -381.4,   6.8,    0.0
    DCM Qeu8e (latest)                                  :    100 ( 0,   21,   79),  10.5 :  -315.7,   7.5,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 ( 0,   29,   71),  14.5 :  -309.8,   7.4,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 ( 0,   33,   67),  16.5 :  -307.8,   7.3,    0.0
    DCM 9blk16se-9x9stem (latest)                       :    100 ( 0,   37,   63),  18.5 :  -268.1,   7.3,    0.0
    DCM mini2b-3MIV (latest)                            :    100 ( 0,   38,   62),  19.0 :  -262.4,   7.8,    0.0
    DCM mini-YkKk (latest)                              :    100 ( 0,   44,   56),  22.0 :  -239.2,   7.8,    0.0
    DCM T97X (latest)                                   :    100 ( 0,   69,   31),  34.5 :  -115.3,   7.2,    0.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 ( 1,   54,   45),  28.0 :  -112.0,   6.3,    0.0
    DCM uni16-9x9stem (latest)                          :    100 ( 0,   71,   29),  35.5 :   -89.7,   6.8,    0.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 ( 0,   70,   30),  35.0 :   -77.9,   7.6,    0.0
    DCM q2Bb-tanh (latest)                              :    100 ( 1,   81,   18),  41.5 :   -66.8,   7.9,    0.0
    DCM q2Bb-clamp (latest)                             :    100 ( 2,   90,    8),  47.0 :   -66.5,   6.9,    0.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 ( 2,   91,    7),  47.5 :   -64.3,   7.4,    0.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 ( 0,  100,    0),  50.0 :    -1.4,   7.5,   42.8
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 ( 1,   91,    8),  46.5 :    -0.0,   7.2,   50.0

